movieId,title_clean,genres,year,avg_rating,num_ratings,weighted_rating,imdbId,tmdbId
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,3.9209302325581397,215.0,3.8904084340147835,tt0114709,862
2,Jumanji,Adventure|Children|Fantasy,1995.0,3.4318181818181817,110.0,3.4167332523773157,tt0113497,8844
3,Grumpier Old Men,Comedy|Romance,1995.0,3.2596153846153846,52.0,3.259084985922917,tt0113228,15602
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0,2.357142857142857,7.0,2.8936129808276534,tt0114885,31357
5,Father of the Bride Part II,Comedy,1995.0,3.0714285714285716,49.0,3.10369080645821,tt0113041,11862
6,Heat,Action|Crime|Thriller,1995.0,3.946078431372549,102.0,3.882541572697894,tt0113277,949
7,Sabrina,Comedy|Romance,1995.0,3.185185185185185,54.0,3.1966431896260006,tt0114319,11860
8,Tom and Huck,Adventure|Children,1995.0,2.875,8.0,3.090139407453618,tt0112302,45325
9,Sudden Death,Action,1995.0,3.125,16.0,3.1766224743650304,tt0114576,9091
10,GoldenEye,Action|Adventure|Thriller,1995.0,3.496212121212121,132.0,3.4787763034867094,tt0113189,710
11,"American President, The",Comedy|Drama|Romance,1995.0,3.6714285714285713,70.0,3.617967850508061,tt0112346,9087
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0,2.4210526315789473,19.0,2.7156490733851104,tt0112896,12110
13,Balto,Adventure|Animation|Children,1995.0,3.125,8.0,3.199127392149208,tt0112453,21032
14,Nixon,Drama,1995.0,3.8333333333333335,18.0,3.622705951473244,tt0113987,10858
15,Cutthroat Island,Action|Adventure|Romance,1995.0,3.0,13.0,3.113663508098655,tt0112760,1408
16,Casino,Crime|Drama,1995.0,3.926829268292683,82.0,3.851689936587785,tt0112641,524
17,Sense and Sensibility,Drama|Romance,1995.0,3.7761194029850746,67.0,3.7065760761054984,tt0114388,4584
18,Four Rooms,Comedy,1995.0,3.7,20.0,3.548723610131692,tt0113101,5
19,Ace Ventura: When Nature Calls,Comedy,1995.0,2.727272727272727,88.0,2.7829614313573687,tt0112281,9273
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995.0,2.5,15.0,2.8088457607496506,tt0113845,11517
21,Get Shorty,Comedy|Crime|Thriller,1995.0,3.49438202247191,89.0,3.469590465442091,tt0113161,8012
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995.0,3.2222222222222223,36.0,3.22985906736227,tt0112722,1710
23,Assassins,Action|Crime|Thriller,1995.0,3.125,16.0,3.1766224743650304,tt0112401,9691
24,Powder,Drama|Sci-Fi,1995.0,3.125,28.0,3.160469690880642,tt0114168,12665
25,Leaving Las Vegas,Drama|Romance,1995.0,3.625,76.0,3.580819233488779,tt0113627,451
26,Othello,Drama,1995.0,3.5,13.0,3.3920283897156622,tt0114057,16420
27,Now and Then,Children|Drama,1995.0,3.3333333333333335,9.0,3.292192633699875,tt0114011,9263
28,Persuasion,Drama|Romance,1995.0,4.2272727272727275,11.0,3.7566101700463386,tt0114117,17015
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,4.0131578947368425,38.0,3.8511595860775873,tt0112682,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995.0,3.0,3.0,3.1988005885600574,tt0115012,37557
31,Dangerous Minds,Drama,1995.0,3.1842105263157894,38.0,3.199668816872947,tt0112792,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0,3.983050847457627,177.0,3.9429063605852055,tt0114746,63
34,Babe,Children|Drama,1995.0,3.65234375,128.0,3.6227229036017623,tt0112431,9598
36,Dead Man Walking,Crime|Drama,1995.0,3.8358208955223883,67.0,3.758288636652244,tt0112818,687
38,It Takes Two,Children|Comedy,1995.0,2.125,4.0,2.9410560652720825,tt0113442,33689
39,Clueless,Comedy|Romance,1995.0,3.293269230769231,104.0,3.289933790317897,tt0112697,9603
40,"Cry, the Beloved Country",Drama,1995.0,4.25,2.0,3.41731550988446,tt0112749,34615
41,Richard III,Drama|War,1995.0,3.7,15.0,3.5188868190329776,tt0114279,31174
42,Dead Presidents,Action|Crime|Drama,1995.0,3.0,7.0,3.1529693081068344,tt0112819,11443
43,Restoration,Drama,1995.0,3.1875,8.0,3.226374388323106,tt0114272,35196
44,Mortal Kombat,Action|Adventure|Fantasy,1995.0,2.5434782608695654,46.0,2.674433486376799,tt0113855,9312
45,To Die For,Comedy|Drama|Thriller,1995.0,3.3125,32.0,3.298793936083422,tt0114681,577
46,How to Make an American Quilt,Drama|Romance,1995.0,3.066666666666667,15.0,3.1441429271612216,tt0113347,11861
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0,3.9753694581280787,203.0,3.9404898440045084,tt0114369,807
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995.0,3.1470588235294117,68.0,3.161506215379302,tt0114148,10530
49,When Night Is Falling,Drama|Romance,1995.0,3.0,1.0,3.2338295334451534,tt0114916,8391
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995.0,4.237745098039215,204.0,4.190358510063814,tt0114814,629
52,Mighty Aphrodite,Comedy|Drama|Romance,1995.0,3.4642857142857144,28.0,3.408183897062456,tt0113819,11448
53,Lamerica,Adventure|Drama,1994.0,5.0,2.0,3.538766640203609,tt0110299,49133
54,"Big Green, The",Children|Comedy,1995.0,2.3333333333333335,3.0,3.04899511117235,tt0112499,26441
55,Georgia,Drama,1995.0,4.0,1.0,3.3219302406382663,tt0113158,97406
57,Home for the Holidays,Drama,1995.0,3.0625,8.0,3.171880395975311,tt0113321,9089
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994.0,4.027027027027027,37.0,3.8585757379290646,tt0110877,11010
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995.0,3.235294117647059,34.0,3.2402246013305858,tt0113419,11359
61,Eye for an Eye,Drama|Thriller,1996.0,3.75,6.0,3.4375433312572086,tt0116260,17182
62,Mr. Holland's Opus,Drama,1995.0,3.70625,80.0,3.6547171336262583,tt0113862,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996.0,2.7142857142857144,7.0,3.0376998293160873,tt0116126,10607
64,Two if by Sea,Comedy|Romance,1996.0,2.2,5.0,2.9123239815795694,tt0118002,19760
65,Bio-Dome,Comedy,1996.0,2.532258064516129,31.0,2.713526038132694,tt0115683,9536
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996.0,2.5,9.0,2.904608687679951,tt0116839,11525
68,French Twist (Gazon maudit),Comedy|Romance,1995.0,3.4,5.0,3.303186993629373,tt0113149,4482
69,Friday,Comedy,1995.0,3.775,20.0,3.598145950801885,tt0113118,10634
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996.0,3.5090909090909093,55.0,3.469071355430331,tt0116367,755
71,Fair Game,Action,1995.0,1.7,5.0,2.749464393225484,tt0113010,11859
72,Kicking and Screaming,Comedy|Drama,1995.0,3.2142857142857144,7.0,3.239421417199895,tt0113537,28387
73,"Misérables, Les",Drama|War,1995.0,3.4615384615384617,13.0,3.3706157065143536,tt0113828,48750
74,Bed of Roses,Drama|Romance,1996.0,4.0,8.0,3.5805853385837727,tt0115644,20927
75,Big Bully,Comedy|Drama,1996.0,2.2,5.0,2.9123239815795694,tt0115676,36929
76,Screamers,Action|Sci-Fi|Thriller,1995.0,3.4,15.0,3.341376554462145,tt0114367,9102
77,Nico Icon,Documentary,1995.0,4.0,1.0,3.3219302406382663,tt0113973,124626
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995.0,3.3333333333333335,3.0,3.2737033272539113,tt0112744,27526
79,"Juror, The",Drama|Thriller,1996.0,2.764705882352941,17.0,2.950791526174885,tt0116731,9623
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995.0,4.0,2.0,3.376831799778077,tt0112445,46785
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995.0,3.107142857142857,14.0,3.170595732933001,tt0114660,400
82,Antonia's Line (Antonia),Comedy|Drama,1995.0,3.875,8.0,3.5260913462359778,tt0112379,880
